OrderID,CustomerID,ProductID,OrderDate,ShipDate,ShipMode,Sales,Order_Year,Order_Month,Order_Day,Order_Weekday,Shipping_Delay,Log_Sales,Scaled_Sales
CA-2017-152156,CG-12520,FUR-BO-10001798,2017-08-11,2017-11-11,Second Class,261.96,2017,8,11,4,92,5.572001929355964,0.0149378887063174
CA-2017-152156,CG-12520,FUR-CH-10000454,2017-08-11,2017-11-11,Second Class,731.94,2017,8,11,4,92,6.597063843147503,0.0417948187234369
CA-2017-161389,IM-15070,OFF-BI-10003656,2017-05-12,2017-10-12,Standard Class,407.976,2017,5,12,4,153,6.013656474614479,0.0232819490777794
CA-2017-117590,GH-14485,TEC-PH-10004977,2017-08-12,2017-10-12,First Class,1097.544,2017,8,12,5,61,7.001740945642436,0.0626871993395885
CA-2017-117590,GH-14485,FUR-FU-10003664,2017-08-12,2017-10-12,First Class,190.92,2017,8,12,5,61,5.257078618531439,0.0108783195578086
CA-2015-106376,BS-11590,OFF-AR-10002671,2015-05-12,2015-10-12,Standard Class,1113.024,2015,5,12,1,153,7.015733964240798,0.0635718014006656
CA-2015-106376,BS-11590,TEC-PH-10002726,2015-05-12,2015-10-12,Standard Class,167.968,2015,5,12,1,153,5.129709347881841,0.0095667312822375
CA-2017-119823,KD-16270,OFF-PA-10000482,2017-04-06,2017-06-06,First Class,75.88,2017,4,6,3,61,4.342245764662037,0.0043043776258766
US-2018-118038,KB-16600,OFF-BI-10004182,2018-09-12,2018-11-12,First Class,1.248,2018,9,12,2,61,0.8100409320314447,3.954422650292919e-05
US-2018-118038,KB-16600,FUR-FU-10000260,2018-09-12,2018-11-12,First Class,9.708,2018,9,12,2,61,2.370991125658106,0.000522989538952
US-2018-118038,KB-16600,OFF-ST-10000615,2018-09-12,2018-11-12,First Class,27.24,2018,9,12,2,61,3.3407394126250414,0.0015248528034742
CA-2016-149734,JC-16105,OFF-EN-10000927,2016-03-09,2016-08-09,Standard Class,200.984,2016,3,9,2,153,5.308188486343299,0.0114534251871807
CA-2017-159695,GM-14455,OFF-ST-10003442,2017-05-04,2017-10-04,Second Class,158.368,2017,5,4,3,153,5.071215993379483,0.0090181408567633
US-2018-109484,RB-19705,OFF-BI-10004738,2018-06-11,2018-12-11,Standard Class,5.682,2018,6,11,0,183,1.8994173439345647,0.0002929244292688
CA-2018-161018,PN-18775,FUR-FU-10000629,2018-09-11,2018-11-11,Second Class,96.53,2018,9,11,1,61,4.580160022983923,0.0054844184890059
CA-2017-149223,ER-13855,OFF-AP-10000358,2017-06-09,2017-11-09,Standard Class,77.88,2017,6,9,4,153,4.36792771029438,0.0044186672978504
CA-2017-129903,GZ-14470,OFF-PA-10004040,2017-01-12,2017-04-12,Second Class,23.92,2017,1,12,3,90,3.2156706939192525,0.0013351319479977
CA-2017-128867,CL-12565,OFF-AR-10000380,2017-03-11,2017-10-11,Standard Class,75.96,2017,3,11,5,214,4.343285806357451,0.0043089492127555
CA-2017-128867,CL-12565,OFF-BI-10003981,2017-03-11,2017-10-11,Standard Class,27.24,2017,3,11,5,214,3.3407394126250414,0.0015248528034742
CA-2016-110457,DK-13090,FUR-TA-10001768,2016-02-03,2016-06-03,Standard Class,787.53,2016,2,3,2,121,6.670170452603868,0.0449715001559482
US-2016-136476,GG-14650,OFF-BI-10003650,2016-05-04,2016-10-04,Standard Class,157.794,2016,5,4,2,153,5.067607764723911,0.0089853397209069
US-2018-107272,TS-21610,OFF-BI-10003274,2018-05-11,2018-12-11,Standard Class,2.388,2018,5,11,4,214,1.220239776789808,0.0001046893395279
US-2018-107272,TS-21610,OFF-ST-10002974,2018-05-11,2018-12-11,Standard Class,243.992,2018,5,11,4,214,5.50122555695038,0.013911110293305
US-2017-125969,LS-16975,FUR-CH-10001146,2017-06-11,2017-10-11,Second Class,81.424,2017,6,11,6,122,4.411876656642767,0.0046211885965879
US-2017-125969,LS-16975,FUR-FU-10003773,2017-06-11,2017-10-11,Second Class,238.56,2017,6,11,6,122,5.478803907396261,0.0136006995442242
US-2018-164147,DW-13585,TEC-PH-10002293,2018-02-02,2018-05-02,First Class,59.97,2018,2,2,4,89,4.110381939919725,0.0033952032853251
US-2018-164147,DW-13585,OFF-PA-10002377,2018-02-02,2018-05-02,First Class,78.304,2018,2,2,4,89,4.3732885687305965,0.0044428967083088
US-2018-164147,DW-13585,OFF-FA-10002780,2018-02-02,2018-05-02,First Class,21.456,2018,2,2,4,89,3.1115578390595813,0.001194327072126
CA-2017-110366,JD-15895,FUR-FU-10004848,2017-05-09,2017-07-09,Second Class,82.8,2017,5,9,1,61,4.428433007488037,0.0046998198909059
CA-2016-110744,HA-14920,OFF-ST-10003656,2016-07-09,2016-12-09,Standard Class,671.93,2016,7,9,5,153,6.511641312348043,0.0383655571158635
CA-2017-114489,JE-16165,TEC-PH-10000215,2017-05-12,2017-09-12,Standard Class,384.45,2017,5,12,4,123,5.954411482905271,0.0219375596663518
CA-2017-114489,JE-16165,TEC-PH-10001448,2017-05-12,2017-09-12,Standard Class,149.97,2017,5,12,4,123,5.017081141579645,0.0085382385241454
CA-2017-114489,JE-16165,FUR-CH-10000454,2017-05-12,2017-09-12,Standard Class,1951.84,2017,5,12,4,123,7.577040002277407,0.1115058041438463
CA-2017-114489,JE-16165,OFF-BI-10002735,2017-05-12,2017-09-12,Standard Class,171.55,2017,5,12,4,123,5.150687049544013,0.0097714240847425
CA-2015-104269,DB-13060,FUR-CH-10004063,2015-01-03,2015-06-03,Second Class,457.568,2015,1,3,5,151,6.128108590405284,0.0261158757840414
CA-2017-162733,TT-21070,OFF-PA-10002751,2017-11-05,2017-12-05,First Class,5.98,2017,11,5,6,30,1.9430489167742813,0.0003099535903929
CA-2017-113817,MJ-17740,OFF-BI-10004002,2017-07-11,2017-11-11,Standard Class,27.68,2017,7,11,1,123,3.35620001573142,0.0015499965313084
CA-2015-139892,BM-11140,OFF-AR-10004441,2015-08-09,2015-12-09,Standard Class,9.936,2015,8,9,6,122,2.3920600994216485,0.000536018561557
CA-2015-139892,BM-11140,TEC-MA-10000822,2015-08-09,2015-12-09,Standard Class,8159.952,2015,8,9,6,122,9.007116107819794,0.4662673461721017
CA-2015-139892,BM-11140,OFF-ST-10000991,2015-08-09,2015-12-09,Standard Class,275.928,2015,8,9,6,122,5.62375754460242,0.0157360877753823
